"group";"group_night";"phase";"sex";"sd_consumed";"group2";"night"
"mixed3";3;"1";"f";0.151554445662277;"mixed3 f";-1.65432098765432
"mixed3";3;"2";"m";0.338879895144774;"mixed3 m";-1.65432098765432
"mixed3";3;"2";"f";0.126301557129488;"mixed3 f";-1.65432098765432
"mixed3";4;"1";"m";0.222378243839934;"mixed3 m";-0.654320987654321
"mixed3";4;"1";"f";0.156850512697069;"mixed3 f";-0.654320987654321
"mixed3";4;"2";"m";0.168763888317377;"mixed3 m";-0.654320987654321
"mixed3";4;"2";"f";0.0937527777366268;"mixed3 f";-0.654320987654321
"mixed3";5;"1";"m";0.42759745477883;"mixed3 m";0.345679012345679
"mixed3";5;"1";"f";0.209110218146635;"mixed3 f";0.345679012345679
"mixed3";5;"2";"m";0.0276511000383951;"mixed3 m";0.345679012345679
"mixed3";5;"2";"f";0.124674576397917;"mixed3 f";0.345679012345679
"mixed3";6;"1";"m";0.550391905827112;"mixed3 m";1.34567901234568
"mixed3";6;"1";"f";0.125673187275568;"mixed3 f";1.34567901234568
"mixed3";6;"2";"m";0.408750637104498;"mixed3 m";1.34567901234568
"mixed3";6;"2";"f";0.0384328418586673;"mixed3 f";1.34567901234568
"mixed3";7;"1";"m";0.533192038575221;"mixed3 m";2.34567901234568
"mixed3";7;"1";"f";0.243117769815372;"mixed3 f";2.34567901234568
"mixed3";7;"2";"m";0.16996935998389;"mixed3 m";2.34567901234568
"mixed3";7;"2";"f";0.152322300840466;"mixed3 f";2.34567901234568
"mixed3";8;"1";"m";0.651250399871918;"mixed3 m";3.34567901234568
"mixed3";8;"1";"f";0.118383205453026;"mixed3 f";3.34567901234568
"mixed3";8;"2";"m";0.303768003581681;"mixed3 m";3.34567901234568
"mixed3";8;"2";"f";0.0772307149606511;"mixed3 f";3.34567901234568
"mixed3";9;"1";"m";0.584189253010814;"mixed3 m";4.34567901234568
"mixed3";9;"1";"f";0.205613918141096;"mixed3 f";4.34567901234568
"mixed4";1;"1";"m";0.425715084690845;"mixed4 m";-3.65432098765432
"mixed4";1;"1";"f";0.187622182412777;"mixed4 f";-3.65432098765432
"mixed4";1;"2";"m";0.203013751586766;"mixed4 m";-3.65432098765432
"mixed4";1;"2";"f";0.22772424845267;"mixed4 f";-3.65432098765432
"mixed4";2;"1";"m";0.525656335768279;"mixed4 m";-2.65432098765432
"mixed4";2;"1";"f";0.14682756326158;"mixed4 f";-2.65432098765432
"mixed4";2;"2";"m";0.268704453504837;"mixed4 m";-2.65432098765432
"mixed4";2;"2";"f";0.244135379110307;"mixed4 f";-2.65432098765432
"mixed4";3;"1";"m";0.532992729781561;"mixed4 m";-1.65432098765432
"mixed4";3;"1";"f";0.232329686724132;"mixed4 f";-1.65432098765432
"mixed4";3;"2";"m";0.234711702591356;"mixed4 m";-1.65432098765432
"mixed4";3;"2";"f";0.255799400572662;"mixed4 f";-1.65432098765432
"mixed4";4;"1";"m";0.56752936781574;"mixed4 m";-0.654320987654321
"mixed4";4;"1";"f";0.233037014227354;"mixed4 f";-0.654320987654321
"mixed4";4;"2";"m";0.121423844445809;"mixed4 m";-0.654320987654321
"mixed4";4;"2";"f";0.213561076353659;"mixed4 f";-0.654320987654321
"mixed4";5;"1";"m";0.597627252836861;"mixed4 m";0.345679012345679
"mixed4";5;"1";"f";0.260324316958674;"mixed4 f";0.345679012345679
"mixed4";5;"2";"m";0.0347311099736245;"mixed4 m";0.345679012345679
"mixed4";5;"2";"f";0.266415246060231;"mixed4 f";0.345679012345679
"mixed4";6;"1";"m";0.607661158322081;"mixed4 m";1.34567901234568
"mixed4";6;"1";"f";0.244655369857275;"mixed4 f";1.34567901234568
"mixed4";6;"2";"m";0.0617116952719121;"mixed4 m";1.34567901234568
"mixed4";6;"2";"f";0.264350619443193;"mixed4 f";1.34567901234568
"mixed4";7;"1";"m";0.599115667741492;"mixed4 m";2.34567901234568
"mixed4";7;"1";"f";0.283243858421208;"mixed4 f";2.34567901234568
"mixed4";7;"2";"m";0.0330718913883074;"mixed4 m";2.34567901234568
"mixed4";7;"2";"f";0.298646251162363;"mixed4 f";2.34567901234568
"mixed4";8;"1";"m";0.556329114224066;"mixed4 m";3.34567901234568
"mixed4";8;"1";"f";0.321348071930319;"mixed4 f";3.34567901234568
"mixed4";8;"2";"m";0.0566237582645306;"mixed4 m";3.34567901234568
"mixed4";8;"2";"f";0.202118983109785;"mixed4 f";3.34567901234568
"mixed4";9;"1";"m";0.607506858671845;"mixed4 m";4.34567901234568
"mixed4";9;"1";"f";0.169287723516306;"mixed4 f";4.34567901234568
"mixed4";9;"2";"m";0.10610529361598;"mixed4 m";4.34567901234568
"mixed4";9;"2";"f";0.315142163687015;"mixed4 f";4.34567901234568
"6m";1;"1";"m";0.2358729354264;"6m m";-3.65432098765432
"6m";1;"2";"m";0.43082986781327;"6m m";-3.65432098765432
"6m";2;"1";"m";0.339593507005066;"6m m";-2.65432098765432
"6m";2;"2";"m";0.193721772137259;"6m m";-2.65432098765432
"6m";3;"1";"m";0.286720319591526;"6m m";-1.65432098765432
"6m";3;"2";"m";0.385504269323527;"6m m";-1.65432098765432
"6m";4;"1";"m";0.485106778643273;"6m m";-0.654320987654321
"6m";4;"2";"m";0.620785680223677;"6m m";-0.654320987654321
"6m";5;"1";"m";0.382618529054083;"6m m";0.345679012345679
"6m";5;"2";"m";0.351947013057363;"6m m";0.345679012345679
"6m";6;"1";"m";0.442784983560494;"6m m";1.34567901234568
"6m";6;"2";"m";0.855721065340025;"6m m";1.34567901234568
"6m";7;"1";"m";0.4010394021051;"6m m";2.34567901234568
"6m";7;"2";"m";0.479807461384252;"6m m";2.34567901234568
"6m";8;"1";"m";0.83843107448774;"6m m";3.34567901234568
"6m";8;"2";"m";0.389065386535477;"6m m";3.34567901234568
"6f";1;"1";"f";0.464590545534452;"6f f";-3.65432098765432
"6f";1;"2";"f";0.205795711811495;"6f f";-3.65432098765432
"6f";2;"1";"f";0.33181125800295;"6f f";-2.65432098765432
"6f";2;"2";"f";0.260525610545297;"6f f";-2.65432098765432
"6f";3;"1";"f";0.387302982172872;"6f f";-1.65432098765432
"6f";3;"2";"f";0.300881612761497;"6f f";-1.65432098765432
"6f";4;"1";"f";0.316408415997877;"6f f";-0.654320987654321
"6f";4;"2";"f";0.385156072261622;"6f f";-0.654320987654321
"6f";5;"1";"f";0.729273932586377;"6f f";0.345679012345679
"6f";5;"2";"f";0.7027688264554;"6f f";0.345679012345679
"6f";6;"1";"f";1.07141223003411;"6f f";1.34567901234568
"6f";6;"2";"f";0.498380920247421;"6f f";1.34567901234568
"6f";7;"1";"f";0.656289468654394;"6f f";2.34567901234568
"6f";7;"2";"f";0.270624107217756;"6f f";2.34567901234568
