"IdLabel";"weight";"cond";"day";"cohort_day";"cohort";"cage";"prob_cond";"successes";"failures";"sampling";"group";"prob_cen"
"Ind13";7.421;"plast";28;11;"2";2;0.83;178;26;0.127450980392157;"50-30-83";0.285297872340425
"Ind13";7.095;"plast";29;12;"2";2;0.83;96;10;0.0943396226415094;"50-30-83";0.285297872340425
"Ind13";7.28;"plast";30;13;"2";2;0.83;161;17;0.0955056179775281;"50-30-83";0.285297872340425
"Ind14";8.794;"plast";19;2;"2";2;0.5;408;50;0.109170305676856;"50-30-83";-0.0447021276595745
"Ind14";8.488;"plast";21;4;"2";2;0.5;279;29;0.0941558441558442;"50-30-83";-0.0447021276595745
"Ind14";8.339;"plast";22;5;"2";2;0.5;199;12;0.0568720379146919;"50-30-83";-0.0447021276595745
"Ind14";8.593;"plast";23;6;"2";2;0.3;775;7;0.00895140664961637;"50-30-83";-0.244702127659574
"Ind14";8.255;"plast";25;8;"2";2;0.3;391;1;0.00255102040816327;"50-30-83";-0.244702127659574
"Ind14";7.975;"plast";26;9;"2";2;0.3;197;44;0.182572614107884;"50-30-83";-0.244702127659574
"Ind14";8.211;"plast";27;10;"2";2;0.83;246;2;0.00806451612903226;"50-30-83";0.285297872340425
"Ind14";7.992;"plast";28;11;"2";2;0.83;157;1;0.00632911392405063;"50-30-83";0.285297872340425
"Ind14";7.805;"plast";29;12;"2";2;0.83;122;1;0.00813008130081301;"50-30-83";0.285297872340425
"Ind14";7.654;"plast";30;13;"2";2;0.83;119;0;0;"50-30-83";0.285297872340425
"Ind15";9.01;"plast";19;2;"2";2;0.5;494;1;0.00202020202020202;"50-30-83";-0.0447021276595745
"Ind15";8.977;"plast";20;3;"2";2;0.5;466;0;0;"50-30-83";-0.0447021276595745
"Ind15";8.962;"plast";21;4;"2";2;0.5;538;8;0.0146520146520147;"50-30-83";-0.0447021276595745
"Ind15";8.797;"plast";22;5;"2";2;0.5;450;9;0.0196078431372549;"50-30-83";-0.0447021276595745
"Ind15";8.77;"plast";23;6;"2";2;0.3;772;18;0.0227848101265823;"50-30-83";-0.244702127659574
"Ind15";8.76;"plast";24;7;"2";2;0.3;784;19;0.0236612702366127;"50-30-83";-0.244702127659574
"Ind15";8.691;"plast";25;8;"2";2;0.3;618;5;0.00802568218298555;"50-30-83";-0.244702127659574
"Ind15";8.68;"plast";27;10;"2";2;0.83;348;1;0.00286532951289398;"50-30-83";0.285297872340425
"Ind15";8.522;"plast";28;11;"2";2;0.83;258;0;0;"50-30-83";0.285297872340425
"Ind15";8.318;"plast";29;12;"2";2;0.83;189;8;0.0406091370558376;"50-30-83";0.285297872340425
