"IdLabel";"weight";"cond";"day";"cohort_day";"cohort";"cage";"prob_cond";"successes";"failures";"sampling";"group";"prob_cen";"predicted_failures";"predicted_sampling";"slope"
"Ind1";8.655;"plast";2;2;1;1;0.5;543;29;0.0506993006993007;"50-30-83";-0.0447021276595745;22.5604103675544;0.0398903635296759;-2.7329199365414
"Ind1";8.604;"plast";3;3;1;1;0.5;271;35;0.11437908496732;"50-30-83";-0.0447021276595745;12.1256820828548;0.0428279130089877;-2.7329199365414
"Ind1";8.438;"plast";4;4;1;1;0.5;325;13;0.0384615384615385;"50-30-83";-0.0447021276595745;13.6047097083884;0.0401787373840871;-2.7329199365414
"Ind1";8.312;"plast";5;5;1;1;0.5;311;6;0.0189274447949527;"50-30-83";-0.0447021276595745;12.9167772354266;0.0398768391858829;-2.7329199365414
"Ind1";8.329;"plast";6;6;1;1;0.3;422;1;0.00236406619385343;"50-30-83";-0.244702127659574;28.3477049142184;0.0629462626430349;-2.7329199365414
"Ind1";8.166;"plast";7;7;1;1;0.3;385;2;0.00516795865633075;"50-30-83";-0.244702127659574;26.336574690794;0.0640268245307178;-2.7329199365414
"Ind1";7.796;"plast";8;8;1;1;0.3;252;54;0.176470588235294;"50-30-83";-0.244702127659574;21.5980409825309;0.0789407734973875;-2.7329199365414
"Ind1";7.791;"plast";9;9;1;1;0.3;313;21;0.062874251497006;"50-30-83";-0.244702127659574;23.5863105889068;0.0700750739019632;-2.7329199365414
"Ind1";8.182;"plast";10;10;1;1;0.83;172;0;0;"50-30-83";0.285297872340425;3.22452870804749;0.0184022678321486;-2.7329199365414
"Ind1";7.902;"plast";11;11;1;1;0.83;187;0;0;"50-30-83";0.285297872340425;3.61535756400618;0.018966769573077;-2.7329199365414
"Ind1";7.706;"plast";12;12;1;1;0.83;102;0;0;"50-30-83";0.285297872340425;2.01729814533653;0.0193938718011872;-2.7329199365414
"Ind10";8.024;"plast";2;2;1;1;0.5;405;92;0.185110663983903;"50-83-30";-0.0447021276595745;87.8159501354926;0.178192183332031;-3.2299163588972
"Ind10";8.009;"plast";3;3;1;1;0.5;455;10;0.021505376344086;"50-83-30";-0.0447021276595745;82.2527666111339;0.153098823724939;-3.2299163588972
"Ind10";8.006;"plast";4;4;1;1;0.5;425;16;0.036281179138322;"50-83-30";-0.0447021276595745;78.0247453981522;0.155111147338079;-3.2299163588972
"Ind10";7.841;"plast";5;5;1;1;0.5;415;25;0.0568181818181818;"50-83-30";-0.0447021276595745;78.8112917317143;0.159597994317498;-3.2299163588972
"Ind10";7.86;"plast";6;6;1;1;0.83;320;10;0.0303030303030303;"50-83-30";0.285297872340425;27.0170509501775;0.0778551107970093;-3.2299163588972
"Ind10";7.429;"plast";8;8;1;1;0.83;255;161;0.387019230769231;"50-83-30";0.285297872340425;35.4944025374337;0.122186184062049;-3.2299163588972
"Ind10";7.372;"plast";9;9;1;1;0.83;172;2;0.0114942528735632;"50-83-30";0.285297872340425;14.9305182294385;0.0798720207425563;-3.2299163588972
"Ind10";7.313;"plast";10;10;1;1;0.3;541;140;0.205580029368576;"50-83-30";-0.244702127659574;191.483167062317;0.261416474361146;-3.2299163588972
"Ind10";7.418;"plast";11;11;1;1;0.3;402;415;0.507955936352509;"50-83-30";-0.244702127659574;228.163402373615;0.362070221016009;-3.2299163588972
"Ind10";7.151;"plast";12;12;1;1;0.3;266;316;0.542955326460481;"50-83-30";-0.244702127659574;165.386215693226;0.383383171915809;-3.2299163588972
"Ind10";6.997;"plast";13;13;1;1;0.3;251;125;0.332446808510638;"50-83-30";-0.244702127659574;107.93374712579;0.300706601120914;-3.2299163588972
"Ind11";9.031;"plast";4;4;1;1;0.5;542;100;0.155763239875389;"50-83-30";-0.0447021276595745;155.72601803262;0.223190785505922;-3.11786120643802
"Ind11";8.93;"plast";5;5;1;1;0.5;596;84;0.123529411764706;"50-83-30";-0.0447021276595745;166.03037977304;0.217878950997321;-3.11786120643802
