"term";"estimate";"conf.low";"conf.high"
"mixed_phase2";-0.16;-0.3;-0.03
"grtypes_phase2";-0.06;-0.12;-0.01
"night_phase2";0.02;-0.01;0.05
"grtype_night_phase2";0.05;-0.03;0.1
"mixed_nightph1";0.01;-0.04;0.05
"mixed_nightph2";0.01;-0.03;0.05
"mixed_night_contrast";0;-0.02;0.02
